Date,Sales Area,Outlet Name,SAP Code,Product,Sales KL,Net Volume,Billing Document,Material,Material Description,Plant,Outlet Type
2026-04-21,BALAGHAT,SONI FILLING STATION,41049838,MS,4,4000,9021526241,2822000,EBMS-HSN-27101242,1436,Standard
2026-04-21,SAGAR,SONI FILLING STATION,41049838,HSD,10,10000,9021526241,2812000,HSD - BS VI,1436,Standard
